Time (s),Velocity (m/s)
3.7375000000000003,77.59183673469389
3.8187499999999996,77.59183673469389
1.625,77.22448979591837
1.70625,77.22448979591837
1.7875,77.22448979591837
1.8687500000000001,77.22448979591837
3.7375000000000003,77.22448979591837
3.8187499999999996,77.22448979591837
3.9,77.22448979591837
1.625,76.85714285714286
1.70625,76.85714285714286
1.7875,76.85714285714286
1.8687500000000001,76.85714285714286
3.7375000000000003,76.85714285714286
3.8187499999999996,76.85714285714286
3.9,76.85714285714286
1.54375,76.48979591836735
1.625,76.48979591836735
1.70625,76.48979591836735
1.7875,76.48979591836735
1.8687500000000001,76.48979591836735
3.7375000000000003,76.48979591836735
3.8187499999999996,76.48979591836735
3.9,76.48979591836735
1.4625,76.12244897959184
1.54375,76.12244897959184
1.625,76.12244897959184
