Time (s),Altitude (m)
13,2087.34693877551
13.08125,2087.34693877551
13.1625,2087.34693877551
13.24375,2087.34693877551
13.325,2082.44897959184
13.40625,2082.44897959184
13.4875,2082.44897959184
13.56875,2082.44897959184
13.65,2082.44897959184
13.73125,2077.55102040816
13.8125,2082.44897959184
13.89375,2082.44897959184
13.975,2082.44897959184
14.05625,2082.44897959184
14.21875,2067.75510204082
14.3,2067.75510204082
14.38125,2057.95918367347
14.54375,2048.16326530612
14.625,2048.16326530612
14.70625,2053.0612244898
14.7875,2067.75510204082
14.86875,2067.75510204082
14.95,2067.75510204082
15.03125,2048.16326530612
15.1125,2028.57142857143
15.19375,1999.18367346939
15.275,1994.28571428571
15.35625,1989.38775510204
15.4375,1979.59183673469
15.51875,1974.69387755102
15.6,1969.79591836735
15.68125,1964.89795918367
15.7625,1969.79591836735
15.84375,1960
15.925,1940.40816326531
16.00625,1930.61224489796
16.0875,1930.61224489796
16.16875,1935.51020408163
16.25,1920.81632653061
16.33125,1906.12244897959
16.4125,1896.32653061224
16.49375,1891.42857142857
16.575,1886.5306122449
16.65625,1886.5306122449
16.7375,1876.73469387755
16.81875,1871.83673469388
16.9,1871.83673469388
16.98125,1871.83673469388
17.0625,1862.04081632653
17.14375,1852.24489795918
17.225,1852.24489795918
17.30625,1852.24489795918
17.3875,1847.34693877551
17.46875,1817.95918367347
17.55,1808.16326530612
17.63125,1808.16326530612
17.7125,1798.36734693878
17.79375,1793.4693877551
17.875,1764.08163265306
17.95625,1754.28571428571
18.0375,1739.59183673469
18.11875,1724.89795918367
18.2,1720
18.28125,1705.30612244898
18.3625,1695.51020408163
18.44375,1700.40816326531
18.525,1710.20408163265
18.60625,1710.20408163265
18.6875,1685.71428571429
18.76875,1680.81632653061
18.85,1656.32653061224
18.93125,1651.42857142857
19.0125,1646.5306122449
19.09375,1631.83673469388
19.175,1631.83673469388
19.25625,1626.9387755102
19.3375,1602.44897959184
19.41875,1597.55102040816
19.5,1587.75510204082
19.58125,1582.85714285714
19.6625,1568.16326530612
19.74375,1548.57142857143
19.825,1543.67346938776
19.90625,1533.87755102041
19.9875,1528.97959183673
20.06875,1524.08163265306
20.15,1504.48979591837
20.23125,1499.59183673469
20.3125,1484.89795918367
20.39375,1450.61224489796
20.475,1440.81632653061
20.55625,1426.12244897959
20.6375,1421.22448979592
20.71875,1401.63265306122
20.8,1401.63265306122
20.88125,1401.63265306122
20.9625,1401.63265306122
21.04375,1406.5306122449
21.125,1391.83673469388
21.20625,1372.24489795918
21.2875,1377.14285714286
21.36875,1377.14285714286
21.45,1416.32653061224
21.53125,1367.34693877551
21.775,1284.08163265306
21.85625,1269.38775510204
21.9375,1244.89795918367
22.01875,1220.40816326531
22.1,1200.81632653061
22.18125,1186.12244897959
22.2625,1186.12244897959
22.50625,1161.63265306122
22.5875,1151.83673469388
22.66875,1146.9387755102
22.75,1122.44897959184
22.99375,1102.85714285714
23.075,1097.95918367347
23.15625,1097.95918367347
23.2375,1097.95918367347
23.31875,1088.16326530612
23.4,1083.26530612245
23.48125,1078.36734693878
23.5625,1068.57142857143
23.64375,1068.57142857143
23.725,1063.67346938776
23.80625,1058.77551020408
23.8875,1053.87755102041
23.96875,1053.87755102041
24.05,1048.97959183673
24.13125,1039.18367346939
24.2125,1034.28571428571
24.29375,1034.28571428571
24.375,1034.28571428571
24.45625,1039.18367346939
24.5375,1034.28571428571
24.61875,1029.38775510204
24.7,1024.48979591837
24.78125,1019.59183673469
24.8625,1019.59183673469
24.94375,1019.59183673469
25.025,1019.59183673469
25.10625,1019.59183673469
25.1875,1004.89795918367
25.26875,1004.89795918367
25.35,1004.89795918367
25.43125,1004.89795918367
25.5125,1004.89795918367
25.59375,1004.89795918367
25.675,995.102040816327
25.75625,980.408163265306
25.8375,980.408163265306
25.91875,985.30612244898
26,980.408163265306
26.08125,980.408163265306
26.1625,970.612244897959
26.24375,970.612244897959
26.325,970.612244897959
26.40625,960.816326530612
26.4875,960.816326530612
26.56875,951.020408163265
26.65,951.020408163265
26.73125,951.020408163265
26.8125,946.122448979592
26.89375,941.224489795919
26.975,931.428571428571
27.05625,931.428571428571
27.1375,931.428571428571
27.21875,931.428571428571
27.3,926.530612244898
27.38125,921.632653061225
27.4625,916.734693877551
27.54375,911.836734693878
27.625,916.734693877551
27.70625,906.938775510204
27.7875,906.938775510204
27.86875,897.142857142857
27.95,897.142857142857
28.03125,897.142857142857
28.1125,897.142857142857
28.19375,892.244897959184
28.275,887.34693877551
28.35625,882.448979591837
28.4375,877.551020408163
28.51875,877.551020408163
28.6,877.551020408163
28.68125,877.551020408163
28.7625,872.65306122449
28.84375,867.755102040816
28.925,862.857142857143
29.00625,862.857142857143
29.0875,862.857142857143
29.16875,857.959183673469
29.25,857.959183673469
29.33125,853.061224489796
29.4125,853.061224489796
29.49375,848.163265306122
29.575,848.163265306122
29.65625,838.367346938775
29.7375,843.265306122449
29.81875,833.469387755102
29.9,833.469387755102
29.98125,833.469387755102
30.0625,833.469387755102
30.14375,828.571428571429
30.225,828.571428571429
30.30625,823.673469387755
30.3875,813.877551020408
30.46875,813.877551020408
30.55,808.979591836735
30.63125,808.979591836735
30.7125,808.979591836735
30.79375,808.979591836735
30.875,804.081632653061
30.95625,799.183673469388
31.0375,799.183673469388
31.11875,799.183673469388
31.2,799.183673469388
31.28125,799.183673469388
31.3625,794.285714285714
31.44375,789.387755102041
31.525,784.489795918368
31.60625,784.489795918368
31.6875,784.489795918368
31.76875,774.693877551021
31.85,769.795918367347
31.93125,764.897959183674
32.0125,764.897959183674
