Time (s),Altitude (m),Velocity (m/s),Acceleration (m/s²)
9.18125,1911.02040816327,35.3469387755102,-4.52119309262151
9.2625,1925.71428571429,34.2448979591837,-13.5635792778651
9.34375,1925.71428571429,32.4081632653061,-22.6059654631084
9.425,1935.51020408163,32.2244897959184,-2.26059654631076
9.50625,1940.40816326531,32.0408163265306,-2.26059654631076
9.5875,1955.10204081633,30.9387755102041,-13.5635792778651
9.66875,1960,30.2040816326531,-9.04238618524337
9.75,1969.79591836735,29.1020408163265,-13.5635792778649
9.83125,1974.69387755102,28.3673469387755,-9.04238618524337
9.9125,1979.59183673469,28,-4.52119309262169
9.99375,1989.38775510204,26.530612244898,-18.0847723704867
10.075,1999.18367346939,25.0612244897959,-18.0847723704866
10.15625,1999.18367346939,24.3265306122449,-9.04238618524337
10.2375,2004.08163265306,23.5918367346939,-9.0423861852432
10.31875,2018.77551020408,23.2244897959184,-4.52119309262169
10.4,2023.67346938776,22.8571428571429,-4.52119309262169
10.48125,2028.57142857143,21.0204081632653,-22.6059654631084
10.5625,2028.57142857143,19.9183673469388,-13.5635792778649
10.64375,2038.36734693878,19.9183673469388,0
10.725,2043.26530612245,19.9183673469388,0
10.80625,2048.16326530612,17.7142857142857,-27.1271585557299
10.8875,2072.65306122449,16.6122448979592,-13.5635792778651
10.96875,2072.65306122449,15.8775510204082,-9.04238618524337
11.05,2077.55102040816,15.5102040816327,-4.52119309262169
11.13125,2077.55102040816,14.4081632653061,-13.5635792778649
11.2125,2082.44897959184,12.5714285714286,-22.6059654631084
11.29375,2082.44897959184,11.8367346938776,-9.0423861852432
11.375,2082.44897959184,10.3673469387755,-18.0847723704867
11.45625,2087.34693877551,10.3673469387755,0
11.5375,2092.24489795918,10,-4.52119309262169
11.61875,2087.34693877551,9.26530612244898,-9.04238618524337
11.7,2087.34693877551,7.79591836734693,-18.0847723704867
11.78125,2087.34693877551,7.42857142857145,-4.52119309262134
11.8625,2082.44897959184,6.69387755102041,-9.04238618524355
11.94375,2082.44897959184,5.95918367346938,-9.04238618524337
12.025,2067.75510204082,5.22448979591837,-9.0423861852432
12.10625,2087.34693877551,4.48979591836734,-9.04238618524355
12.1875,2087.34693877551,3.0204081632653,-18.0847723704866
12.26875,2087.34693877551,2.65306122448979,-4.52119309262169
12.35,2087.34693877551,1.91836734693878,-9.0423861852432
12.43125,2092.24489795918,0.816326530612258,-13.5635792778649
12.5125,,1.18367346938776,4.52119309262151
12.59375,,-1.0204081632653,-27.1271585557299
12.675,,,
12.75625,,,
12.8375,,,
12.91875,,,
13,,,
13.08125,,,
13.1625,,,
13.24375,,,
13.325,,,
13.40625,,,
13.4875,,,
13.56875,,,
13.65,,,
13.73125,,,
13.8125,,,
13.89375,,,
13.975,,,
14.05625,,,
14.1375,,,
14.21875,,,
14.3,,,
14.38125,,,
14.54375,,,
14.625,,,
14.70625,,,
14.7875,,,
14.86875,,,
14.95,,,
15.03125,,,
15.1125,,,
15.19375,,,
15.275,,,
15.35625,,,
15.4375,,,
15.51875,,,
15.6,,,
15.68125,,,
15.7625,,,
15.84375,,,
15.925,,,
16.00625,,,
16.0875,,,
16.16875,,,
16.25,,,
16.33125,,,
16.4125,,,
16.49375,,,
16.575,,,
16.65625,,,
16.7375,,,
16.81875,,,
16.9,,,
16.98125,,,
17.0625,,,
17.14375,,,
17.225,,,
17.30625,,,
17.3875,,,
17.46875,,,
17.55,,,
17.63125,,,
17.7125,,,
17.79375,,,
17.875,,,
17.95625,,,
18.0375,,,
18.11875,,,
18.2,,,
18.28125,,,
18.3625,,,
18.44375,,,
18.525,,,
18.60625,,,
18.6875,,,
18.76875,,,
18.85,,,
18.93125,,,
19.0125,,,
19.09375,,,
19.175,,,
19.25625,,,
19.3375,,,
19.41875,,,
19.5,,,
19.58125,,,
19.6625,,,
19.74375,,,
19.825,,,
19.90625,,,
19.9875,,,
20.06875,,,
20.15,,,
20.23125,,,
20.3125,,,
20.39375,,,
20.475,,,
20.55625,,,
20.6375,,,
20.71875,,,
20.8,,,
20.88125,,,
20.9625,,,
21.04375,,,
21.125,,,
21.20625,,,
21.2875,,,
21.36875,,,
21.45,,,
21.53125,,,
21.6125,,,
21.69375,,,
21.775,,,
21.85625,,,
21.9375,,,
22.01875,,,
22.1,,,
22.18125,,,
22.2625,,,
22.34375,,,
22.425,,,
22.50625,,,
22.5875,,,
22.66875,,,
22.75,,,
22.99375,,,
23.075,,,
23.15625,,,
23.2375,,,
23.31875,,,
23.4,,,
23.48125,,,
23.5625,,,
23.64375,,,
23.725,,,
23.80625,,,
23.8875,,,
23.96875,,,
24.05,,,
24.13125,,,
24.2125,,,
24.29375,,,
24.375,,,
24.45625,,,
24.5375,,,
24.61875,,,
24.7,,,
24.78125,,,
24.8625,,,
24.94375,,,
25.025,,,
25.10625,,,
25.1875,,,
25.26875,,,
25.35,,,
25.43125,,,
25.5125,,,
25.59375,,,
25.675,,,
25.75625,,,
25.8375,,,
25.91875,,,
26,,,
26.08125,,,
26.1625,,,
26.24375,,,
26.325,,,
26.40625,,,
26.4875,,,
26.56875,,,
26.65,,,
26.73125,,,
26.8125,,,
26.89375,,,
26.975,,,
27.05625,,,
27.1375,,,
27.21875,,,
27.3,,,
27.38125,,,
27.4625,,,
27.54375,,,
27.625,,,
27.70625,,,
27.7875,,,
27.86875,,,
27.95,,,
28.03125,,,
28.1125,,,
28.19375,,,
28.275,,,
28.35625,,,
28.4375,,,
28.51875,,,
28.6,,,
28.68125,,,
28.7625,,,
28.84375,,,
28.925,,,
29.00625,,,
29.0875,,,
29.16875,,,
29.25,,,
29.33125,,,
29.4125,,,
29.49375,,,
29.575,,,
29.65625,,,
29.7375,,,
29.81875,,,
29.9,,,
29.98125,,,
30.0625,,,
30.14375,,,
30.225,,,
30.30625,,,
30.3875,,,
30.46875,,,
30.55,,,
30.63125,,,
30.7125,,,
30.79375,,,
30.875,,,
30.95625,,,
31.0375,,,
31.11875,,,
31.2,,,
31.28125,,,
31.3625,,,
31.44375,,,
31.525,,,
31.60625,,,
31.6875,,,
31.76875,,,
31.85,,,
31.93125,,,
32.0125,,,
32.09375,,,
32.175,,,
32.25625,,,
32.3375,,,
32.41875,,,
32.5,,,
32.58125,,,
32.6625,,,
32.74375,,,
32.825,,,
32.90625,,,
32.9875,,,
33.06875,,,
33.15,,,
33.23125,,,
33.3125,,,
33.39375,,,
33.475,,,
33.55625,,,
33.6375,,,
33.71875,,,
33.8,,,
33.88125,,,
33.9625,,,
34.04375,,,
34.125,,,
34.20625,,,
34.2875,,,
34.36875,,,
34.45,,,
34.53125,,,
34.6125,,,
34.69375,,,
34.775,,,
34.85625,,,
34.9375,,,
35.01875,,,
35.1,,,
35.18125,,,
35.2625,,,
35.34375,,,
35.425,,,
35.50625,,,
35.5875,,,
35.66875,,,
35.75,,,
35.83125,,,
35.9125,,,
35.99375,,,
36.075,,,
36.15625,,,
36.2375,,,
36.31875,,,
36.4,,,
36.48125,,,
36.5625,,,
